scenario_case,robust_travel_time_multiplier,method,category,seed_count,total_reward,total_reward_std,terminal_time_min,terminal_time_min_std,full_restoration_rate,full_restoration_rate_std,restored_edges,restored_edges_std,remaining_failed_edges,remaining_failed_edges_std,mean_served_ratio,mean_served_ratio_std,shed_energy_kwh,shed_energy_kwh_std,mean_packet_delivery_rate,mean_packet_delivery_rate_std,mean_delay_ms,mean_delay_ms_std,control_available_rate,control_available_rate_std,blocked_attempts,blocked_attempts_std,relay_action_rate,relay_action_rate_std,powered_controller_rate,powered_controller_rate_std,mean_target_traffic_edge_count,mean_target_traffic_edge_count_std,mean_target_travel_time_s,mean_target_travel_time_s_std,mean_target_robust_travel_time_s,mean_target_robust_travel_time_s_std,mean_action_duration_min,mean_action_duration_min_std,traffic_feasible_rate,traffic_feasible_rate_std
traffic_x1p35,1.35,SAFE-GPINN,MARL,5,415.232168097,0.0,113.94357399999998,1.5888218580782548e-14,1.0,0.0,8.0,0.0,0.0,0.0,0.9671973891443185,0.0,474.1217699648263,0.0,0.9504631439283585,1.2412670766236366e-16,36.461205473666666,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.5833333333333334,0.0,2.3333333333333335,0.0,222.95913933333335,0.0,300.99483791666665,0.0,9.495297833333334,0.0,1.0,0.0
traffic_x1p35,1.35,RH-MPC~\cite{rawlings2017mpc},Planning,5,349.774037865,0.0,117.658896,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.9642154049921906,1.2412670766236366e-16,577.2618406725076,0.0,0.9495698531818182,1.2412670766236366e-16,40.90870353763636,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.0,2.272727272727273,0.0,227.73234790909092,0.0,307.4386696363636,0.0,10.696263272727272,0.0,1.0,0.0
traffic_x1p60,1.6,SAFE-GPINN,MARL,5,376.974739553,0.0,126.90424499999999,1.5888218580782548e-14,1.0,0.0,8.0,0.0,0.0,0.0,0.9671974301359192,1.2412670766236366e-16,514.6746673790983,0.0,0.9596812495321622,0.0,39.085155144666665,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5833333333333334,0.0,2.3333333333333335,0.0,223.07152850000003,0.0,356.9144456666666,0.0,10.57535375,0.0,1.0,0.0
traffic_x1p60,1.6,RH-MPC~\cite{rawlings2017mpc},Planning,5,286.713244071,0.0,128.128429,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.9642154049921906,1.2412670766236366e-16,630.1686546861775,0.0,0.9455745219696968,1.2412670766236366e-16,41.918599873999995,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.0,2.272727272727273,0.0,227.5402689090909,0.0,364.0644302727273,0.0,11.648039,0.0,1.0,0.0
traffic_x1p85,1.85,SAFE-GPINN,MARL,5,324.517785466,0.0,136.778075,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.9671974301359192,1.2412670766236366e-16,555.2364973374605,0.0,0.9562034639148269,0.0,40.236877996,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5833333333333334,0.0,2.3333333333333335,0.0,223.3963545,0.0,413.283256,0.0,11.398172916666667,0.0,1.0,0.0
traffic_x1p85,1.85,RH-MPC~\cite{rawlings2017mpc},Planning,5,-4110.398300708,0.0,405.87528,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.9999466275553217,1.2412670766236366e-16,1.1288012627433004,0.0,0.9785275788680556,1.2412670766236366e-16,44.165903675066666,0.0,1.0,0.0,20.0,0.0,1.0,0.0,0.2,0.0,2.7333333333333334,0.0,193.79249133333334,0.0,358.51610906666673,0.0,13.529176000000001,1.9860273225978185e-15,1.0,0.0
