method_key,method,category,seed_count,total_reward,total_reward_std,terminal_time_min,terminal_time_min_std,full_restoration_rate,full_restoration_rate_std,restored_edges,restored_edges_std,remaining_failed_edges,remaining_failed_edges_std,mean_served_ratio,mean_served_ratio_std,shed_energy_kwh,shed_energy_kwh_std,mean_packet_delivery_rate,mean_packet_delivery_rate_std,mean_delay_ms,mean_delay_ms_std,control_available_rate,control_available_rate_std,blocked_attempts,blocked_attempts_std,relay_action_rate,relay_action_rate_std,powered_controller_rate,powered_controller_rate_std,mean_target_traffic_edge_count,mean_target_traffic_edge_count_std,mean_target_travel_time_s,mean_target_travel_time_s_std,mean_target_robust_travel_time_s,mean_target_robust_travel_time_s_std,mean_action_duration_min,mean_action_duration_min_std,traffic_feasible_rate,traffic_feasible_rate_std
safe_gpinn__full_current,SAFE full current,SAFE diagnostic,5,415.232168097,0.0,113.94357399999998,1.5888218580782548e-14,1.0,0.0,8.0,0.0,0.0,0.0,0.9671973891443185,0.0,474.1217699648263,0.0,0.9504631439283585,1.2412670766236366e-16,36.461205473666666,0.0,1.0,0.0,0.0,0.0,0.75,0.0,0.5833333333333334,0.0,2.3333333333333335,0.0,222.95913933333335,0.0,300.99483791666665,0.0,9.495297833333334,0.0,1.0,0.0
safe_gpinn__no_dual_channel,SAFE no dual channel,SAFE diagnostic,5,399.933133541,0.0,116.833067,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.9671973891443185,0.0,474.323285385953,0.0,0.9426896594444445,0.0,37.363352893666665,0.0,1.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.5833333333333334,0.0,2.3333333333333335,0.0,222.95913933333335,0.0,300.99483791666665,0.0,9.736088916666667,0.0,1.0,0.0
safe_gpinn__no_controlled_predeployment,SAFE no controlled predeploy,SAFE diagnostic,5,147.40832693880003,348.09613134402593,114.0872904,1.438757716026852,1.0,0.0,8.0,0.0,0.0,0.0,0.9451102705184187,0.023668826224974043,832.4497907306352,450.5414338449381,0.9267103427361347,0.00940030729446101,38.817496780960006,1.0941770224126541,1.0,0.0,0.0,0.0,0.86,0.08944271909999162,0.39999999999999997,0.1732050807568877,1.9799999999999998,0.17888543819998315,230.44297739999996,2.312011771407083,311.09801938,3.121215928069221,11.408729039999999,0.1438757716026854,1.0,0.0
safe_gpinn__no_direct_restore_override,SAFE no direct override,SAFE diagnostic,5,410.49237795500005,6.355287432313019e-14,117.10342299999999,1.5888218580782548e-14,1.0,0.0,8.0,0.0,0.0,0.0,0.9671973891443185,0.0,474.12179076716546,6.355287432313019e-14,0.9504631439283585,1.2412670766236366e-16,37.952296231,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5833333333333334,0.0,2.3333333333333335,0.0,222.95913933333335,0.0,300.99483791666665,0.0,9.758618583333332,0.0,1.0,0.0
safe_gpinn__no_late_reward_gate,SAFE no late reward gate,SAFE diagnostic,5,394.8647785,0.0,115.759741,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.9697206496529376,0.0,474.12181119072903,0.0,0.9542736713184847,1.2412670766236366e-16,36.15185154476923,0.0,1.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.6153846153846154,0.0,2.5384615384615383,0.0,229.58214307692305,3.1776437161565096e-14,309.93589299999996,0.0,8.904595461538461,0.0,1.0,0.0
rolling_mpc,RH-MPC~\cite{rawlings2017mpc},Planning,5,349.774037865,0.0,117.658896,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.9642154049921906,1.2412670766236366e-16,577.2618406725076,0.0,0.9495698531818182,1.2412670766236366e-16,40.90870353763636,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.0,2.272727272727273,0.0,227.73234790909092,0.0,307.4386696363636,0.0,10.696263272727272,0.0,1.0,0.0
